,Type,Requirement,Tag
0,PE,The system shall refresh the display every 60 seconds.,0
1,LF,The application shall match the color of the schema set forth by Department of Homeland Security,0
2,US, If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,0
3,A, The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,0
4,US, If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,0
5,SE,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,0
6,US,The product shall be intuitive and self-explanatory.  ,0
7,PE,The product shall respond fast to keep up-to-date data in the display.,0
8,F,The system shall have a MDI form that allows for the viewing of the graph and the data table.,1
9,F,The system shall display Events in a vertical table by time.,1
10,F,The system shall display the Events in a graph by time.,1
11,L,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,0
12,L,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,0
13,L,All actions that modify an existing dispute case must be recorded in the case history.,0
14,F,The Disputes System must be accessible by both internal and external users.,1
15,F,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,1
16,F,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,1
17,F,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,1
18,F,The Disputes System shall provide view access capability for authorized users of the application.,1
19,F,The Disputes System shall provide update access capability for authorized users of the application.,1
20,F,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,1
21,F,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,1
22,F,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,1
23,F,The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,1
24,F,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,1
25,F, The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,1
26,F,The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,1
27,F, The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.,1
28,F,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,1
29,F, The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,1
30,F,The Disputes System must provide the ability to view existing dispute cases.,1
31,F, The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,1
32,F,A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,1
33,F,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,1
34,F,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,1
35,F, The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,1
36,F, For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,1
37,F,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,1
38,F,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,1
39,O,The product must support Internet Explorer 5.5 and above.,0
40,O,The product must support Mozilla Firefox 1.0 and above.,0
41,O,The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,0
42,O,The product shall run on the existing hardware for all environments.,0
43,O,The product shall adhere to the corporate Architecture guidelines,0
44,LF,The product shall comply with corporate User Interface Guidelines,0
45,LF,The product shall comply with corporate color scheme,0
46,LF,The appearance of the product shall appear professional,0
47,PO,The software product is expected to run on Windows or Linux platforms.,0
48,US,The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,0
49,US,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,0
50,US,Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,0
51,US,The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,0
52,US,The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,0
53,PE,The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,0
54,PE,The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,0
55,PE,The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.,0
56,PE,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,0
57,A,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,0
58,A,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,0
59,SC,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,0
60,SC, The average number of recycled parts records per day shall be 50 000.,0
61,SC, The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,0
62,O, For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,0
63,O,The product shall interface with the ChoiceParts system once per day at approximately 1,0
64,O,The maintenance of the product will fall within the established corporate maintenance windows.,0
65,O,The product shall be supported using the corporate support center.,0
66,O,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,0
67,SE,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,0
68,SE,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,0
69,SE,Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,0
70,SE,Only valid data shall be entered into the system.  No invalid data shall be entered into the system.,0
71,SE,One insurance company shall not be able to view another insurance companys claim data.,0
72,SE,The product shall free of computer viruses.,0
73,SE,The system shall prevent malicious attacks including denial of service.,0
74,L,The product must comply with Sarbanes-Oxley.,0
75,L,The product shall comply with the estimatics laws relating to recycled parts usage.,0
76,L,The product shall comply with insurance regulations regarding claims processing.,0
77,F, The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,1
78,F, The vehicle data shall include vehicle year  make  and model,1
79,F, The vehicle location shall include street address  city  state  and zipcode,1
80,F, The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.,1
81,F,The search radius shall be between 1 and 30 miles,1
82,F,The system shall locate the preferred repair facility with the highest ratings for the input criteria,1
83,F,The adjuster shall enter the preferred repair facility on the estimate assignment.,1
84,F,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,1
85,F,The preferred repair facility shall be returned to the user.,1
86,F,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,1
87,F,The estimator shall search for available recycled parts using damaged vehicle parts information.,1
88,F,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,1
89,F,The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,1
90,F,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,1
91,F,The system shall retain the available recycled parts and suppliers returned from the search.,1
92,F,The available recycled parts information and their suppliers shall be returned to the user.,1
93,F,The estimator shall apply selected recycled parts to the collision estimate.,1
94,F,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,1
95,F,The adjuster shall review the collision estimate.,1
96,F,The adjuster shall request a recycled parts audit of the collision estimate.,1
97,F,The recycled parts search results provided to the estimator shall be retrieved by the system.,1
98,F,The system shall generate an audit report based on the available recycled parts and the collision estimate.,1
99,F,The audit report shall include the total number of recycled parts used in the estimate.,1
100,F,The audit report shall include the number of available recycled parts from the original search results.,1
101,F, The audit report shall include the percentage of available recycled parts used in the estimate,1
102,F,The audit report shall include the total score of the audit which sums the indivual line items.,1
103,F,The audit report shall be displayed to the user.,1
104,F,The audit report shall be available to other adjusters at later points in time.,1
105,F,The user shall select to view the preferred repair facility ratings.,1
106,F,The current repair facility ratings shall be displayed to the user.,1
107,F,The system will display a blank set of ratings if there are not ratings yet defined.,1
108,F,The user shall enter new ratings based on the audit report,1
109,F,The ratings shall be from a scale of 1-10,1
110,F,The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,1
111,F,The user shall select to save the preferred repair facility ratings.,1
112,F,The preferred repair facility ratings shall be saved by the system.,1
113,O, The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,0
114,O,The product will function alongside server software on any operating system where the Java runtime can be installed.,0
115,O,The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,0
116,O, The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.,0
117,O, A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.,0
118,LF, The product s Look and Feel shall be able to incorporate aspects of the customer s organization such as logo  branding  and identity,0
119,LF,The product shall have a conservative and professional appearance.,0
120,US,The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,0
121,US,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,0
122,US,The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,0
123,US,The product shall allow the user to select a chosen language from one of the target market countries.,0
124,US,The product shall allow for customization of start page and views preferences.,0
125,US, An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.,0
126,US,The product shall use a standard navigation menu familiar to most web users.,0
127,US,The product shall allow for intuitive searching of available conference rooms.,0
128,US,The product shall conform to the Americans with Disabilities Act.,0
129,PE,The response shall be fast enough to avoid interrupting the user s flow of thought.  90% of tasks shall complete within 5 seconds.  98% of tasks shall complete within 8 seconds.,0
130,A, Aside from server failure  the software product shall achieve 99.99% up time.,0
131,FT,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,0
132,SC, The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,0
133,SC, The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.,0
134,SC,The product shall be expected to operate for at least 5 years for each customer installation.,0
135,O,The product shall be used in office environments.,0
136,O,The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,0
137,O,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,0
138,O,The product must be able to interface with various email servers. The product shall be able to send email.,0
139,O,The product shall be available for distribution via the Internet as a binary or ZIP file.,0
140,O,The product shall be available for distribution as a packaged CD.,0
141,O, The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.,0
142,US,A new user must be able to be added to the system within 10 minutes.  90% of new users are able to log into the system within 10 minutes.,0
143,MN,The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,0
144,MN,The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product s software code.,0
145,MN,Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.,0
146,US,Every registered user will have access to the product s support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,0
147,MN,The customer shall be able to easily integrate new building maps with the product throughout the product s lifecycle.  Integration of new maps with the product shall be possible with little to no support from product support staff.,0
148,US, The product shall be translated into foreign languages other than the target market countries  languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market s language.,0
149,O, The product is expected to integrate with multiple database management systems.  The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access.,0
150,O,The product shall be able to be installed in any operating environment within 2 days.,0
151,SE,The product shall ensure that only company employees or external users with company-approved user IDs may have product access.  100% of all logons shall be by either company employees or external users with company-approved user IDs.,0
152,SE,Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.,0
153,SE,The product shall ensure that the database s data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.,0
154,SE,The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems  data shall remain 100% uncorrupted each time malicious data is input into the product.,0
155,FT,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data.  The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,0
156,SE,The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.,0
157,SC,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,0
158,US,The product shall be able to display calendar dates and times according to the user s locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,0
159,O,The product must be developed with the J2SE/J2EE programming language libraries,0
160,F,The product shall record meeting entries.,1
161,F,The product will notify employees of meeting invitations.,1
162,F,The product shall have the ability to send meeting reminders to employees.,1
163,F,The product shall assign the organizers contact information to each meeting they create.,1
164,F,The product will record meeting acknowledgements.,1
165,F,The product shall store new conference rooms.,1
166,F,The product shall update existing conference rooms.,1
167,F,The product will be able to delete conference rooms.,1
168,F,The product shall be able to store new room equipment.,1
169,F,The product will update existing room equipment.,1
170,F,The product shall be able to delete room equipment.,1
171,F,The product shall allow an organizer to invite other employees to meetings.,1
172,F, Each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation.,1
173,F,The product shall record the transportation status of equipment reserved.,1
174,F,The product shall display a map of the company building showing conference room locations.,1
175,F,The product shall record updated meeting agendas.,1
176,F,The product shall send a meeting confirmation to the meeting organizer.,1
177,F,The product shall display room equipment according to search parameters.,1
178,F,The product shall display conference rooms according to search parameters.,1
179,F,The product shall record different meeting types.,1
180,F,The product shall record all the equipment that has been reserved.,1
181,F,The product shall notify building personnel of equipment transport requests.,1
182,F,The product will allow priviledged users to view meeting schedules in multiple reporting views.,1
183,F,The product shall be able to send meeting notifications via different kinds of end-user specified methods.,1
184,F,The product shall have a customizable Look and Feel.,1
185,F,The product shall have an intuitive user interface.,1
186,F,The product will display an available status for unreserved conference rooms.,1
187,PE,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,0
188,PE,The System shall allow for a minimum of  6 users to work at the same time.,0
189,O,The System shall utilize currently owned computer equipment.,0
190,O,The System shall be able to automatically backup business data and restore them on demand.,0
191,SE,The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.,0
192,SE,The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.,0
193,L,The System shall meet all applicable accounting standards.  The final version of the System must successfully pass independent audit performed by a certified auditor.,0
194,O,The System shall not require additional third party licenses resulting in royalty fees.,0
195,F,The System shall allow generation of Inventory Quantity Adjustment documents on demand.,1
196,F,The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,1
197,F,The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,1
198,F, The System shall allow entering  storing and modifying product formulas.,1
199,F, Product formulas shall allow use of semi-products  which have own formulas.,1
200,F,Product formula ingredients shall allow defining substitutionary ingredients.,1
201,F,Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,1
202,F,Formula substitutionary ingredients shall be kept in persisted order,1
203,F, Product shall allow entering  storing and modifying product menus used by POS terminals.,1
204,F,PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.,1
205,F,PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,1
206,F,PME Subsystem shall allow for a product to exist in more than one submenu,1
207,F,The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.,1
208,F,The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,1
209,F,The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,1
210,PE,Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,0
211,PE, Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds.,0
212,PE,System shall let customers register on the website as a  pay as you go  user in under 5 minutes.,0
213,PE,System shall let customers register on the website as a  unlimited movie subscriber  user in under 10 minutes.,0
214,PE,System shall let existing customers log into the website with their email address and password in under 5 seconds.,0
215,PE, System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.,0
216,PE,System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,0
217,PE,System shall let administrator add/remove movies on the website in under 5 minutes.  Entered movie information will be stored in the database and will now be available on the website.,0
218,PE,System shall let the administrator add/remove categories on the website in under 5 minutes.,0
219,PE,System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,0
220,PE,System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,0
221,LF,The website shall be attractive to all audiences.  The website shall appear to be fun and the colors should be bright and vibrant.,0
222,LF, The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,0
223,LF, The website design should be modern  clean  and concise.,0
224,US,The product should be able to be used by 90% of novice users on the Internet.,0
225,US, Users should only have to navigate through a maximum of 4 pages  to create an account with the website.,0
226,US,Users should be able to access their streaming movies in under 2 clicks after logging into the website.,0
227,US,An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.,0
228,US,An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,0
229,US,The product shall retain the customer s buying preferences and information.,0
230,US,The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,0
231,US,The product shall use symbols and words that are naturally understandable by users familiar with websites,0
232,US,The website will use standard Internet conventions when interacting with the user.,0
233,PE, Any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below.,0
234,PE, When purchasing a streaming movie or pre-paid card via credit card  the processing time should have a maximum response time of 15 seconds.,0
235,PE, When streaming a movie  the buffering time should take no longer than 10 seconds (plus any latency on the user s connection.),0
236,PE, While streaming a movie  buffering should only occur if there is latency in the user s connection.,0
237,SE, All credit card information will be secured on the server  and only accessible by authorized Izogn administrators.  Information will be encrypted in the database.,0
238,A, The website shall be available for use 24 hours per day  365 days per year.,0
239,A,The website shall achieve 99.5% up time.,0
240,A, All movies shall be streamed on demand  at any time of the day.,0
241,FT,The website shall continue to operate if the streaming server goes down.,0
242,FT,The website shall continue to operate if the payment gateway goes down.,0
243,SC,The streaming server will support 50 simultaneous streaming connections.,0
244,SC,The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.,0
245,SC, The server will support a maximum of 1 000 simultaneous users.,0
246,SC, The website shall be capable of supporting 100 000 customers.,0
247,MN,The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.,0
248,O,All aspects of the website shall be accessed by a web browser over the Internet.,0
249,O,The same hardware supporting the current website will be used to support the new system.,0
250,O, We must be able to interface with the following browsers,0
251,O,Website must interface with the CyberSource API to process credit card transactions.,0
252,O,Website must be fully operational with MSN TV2.,0
253,O,Movies shall be encoded and streamed via Windows Media Player 9.0.,0
254,O,Movies shall be encoded for 56k and 256k streams.,0
255,MN,Promotional updates to the website should take a day to update.,0
256,PE,Izogn Administrator must be able to update the category listings on the website within 2 minutes.,0
257,PE,Izogn Administrator must be able to add new products to the website within 2 minutes.,0
258,A,The system will provide a 24 hour 800 toll free number for support to its customers.,0
259,US,The website will provide a help section with answers and solutions to common problems.,0
260,A, Velkat staff will be available for phone support between 7am-7pm  M-F to provide technical support to the Izogn administrators.,0
261,O,The product shall be able to be installed in the specified environment within 1 working day.,0
262,SE,Only registered customers can purchase streaming movies.,0
263,SE, A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.,0
264,SE,Only authorized personnel can access customer records in the database.,0
265,SE,Only administrators can activate a pre-paid card.,0
266,SE,Only authorized personnel can access sales information.,0
267,SE,The website shall prevent its data from being corrupted when incorrect data is entered in.,0
268,SE, The website shall protect itself from intentional abuse  and notify the administrator at all occurrences.,0
269,SE,Data integrity scripts will be run on a weekly basis to verify the integrity of the database.,0
270,SE, The website shall make its user aware of its information practices before collection data from them via a Privacy Policy  accessible on all pages of the website.,0
271,SE,The system shall notify customers of changes to its information policy.,0
272,SE,The system shall reveal private information only in compliance with the organization s information policy.,0
273,SE, All customer information will be stored on a secure database  accessible only to authorized personnel.,0
274,SE,All credit card information will be encrypted in the database.,0
275,SE,The streaming server will have anti-virus software to prevent infection of malicious viruses.,0
276,LF,The website should cater to all tribes in Nigeria.,0
277,LF,The website shall not be offensive to religious or ethnic groups.,0
278,LF, The website should appeal to all Africans  not only Nigerians.,0
279,O,The website should use Flash to provide animation on the home page.,0
